SKU,Nombre,Precio,Marca,Laboratorio,Codigo_Barras_1,Codigo_Barras_2,Codigo_Barras_3,Codigo_Barras_4,Categoria,Es_Medicamento
43430,Xelevia Met 50/500 Com X28,65171.8,Gador,Gador,7797991000524,,,,Medicamentos Bajo Receta,true
43431,Xelevia Met 50/850 Com X28,64084.7,Gador,Gador,7797991000579,,,,Medicamentos Bajo Receta,true
43433,Xelevia Met 50/1000 Com X56,142396,Gador,Gador,7797991000555,,,,Medicamentos Bajo Receta,true
43442,Supportan Solución X 500 Ml,60375.8,Supportan,Fresenius Kabi,7798097943173,7798097941919,,,Suplementos y Complementos,true
43443,Pasta Dental Colgate Máxima Protección Anticaries Neutrazúcar 90 Gr,303.38,COLGATE,COLGATE PALMOLIVE,7702010111839,,,,Cremas Dentales,
43454,"Vedilep Com 6,25X28",14470,Lepetit,Lepetit,7798160690959,,,,Medicamentos Bajo Receta,true
43455,Fenogynol Ovu X12,27719.4,Fecofar,Fecofar,7798006300073,,,,Medicamentos Bajo Receta,true
43462,BlueKing Comprimido Masticable X60,87888.5,BLUE KING,Sidus,7795356001957,7795356001445,,,Venta Libre,true
43465,"Vedilep Com 12,5X28",17680,Lepetit,Lepetit,7798160690966,,,,Medicamentos Bajo Receta,true
43466,Metaflex 75 Cb Capsulas Blandas X15,25009,Montpellier,Montpellier,7795378005117,,,,Medicamentos Bajo Receta,true
43467,Metaflex 75 Cb Capsulas Blandas X30,43147.2,Montpellier,Montpellier,7795378005124,,,,Medicamentos Bajo Receta,true
43502,Decadron Fco C/J Amp X1,22728.3,Sidus,Sidus,7795356001315,,,,Medicamentos Bajo Receta,true
43509,Keratina Nutricion Profunda Shampoo X350,9291.9,CAPILATIS,CAPILATIS S.A.,7792640001808,,,,Shampoo,
43511,Panalene Clin 1 Gel X30,38155.9,Panalab,Panalab,7798051852626,,,,Medicamentos Bajo Receta,true
43519,LA VIE EST BELLE (M)EDPx100ML,8100.21,,,3605533286555,,,,,
43529,Fabogesic Rapida Accion Capsulas 400Mg X 10 Un,3649,Fabogesic,Savant Consumer,7798032935096,,,,Medicamentos Bajo Receta,true
43531,Fabogesic Rap.Acc.Cap 600X10,9649,Savant Consumer,Savant Consumer,7798032935126,,,,Medicamentos Bajo Receta,true
